category,question,option1,option2,option3,option4,correct_answer,explanation
チームみらいのビジョン,マニフェストが指摘する日本の現状として、**誤っている**ものはどれか？,平均年収が20年間増えていない,出生数が過去最少を更新している,デジタル分野で世界的な企業が多数生まれている,実質GDPがほとんど成長していない,3,マニフェストでは、日本から世界的なインターネット企業は生まれず、デジタル赤字が増え続けていると指摘しています。
チームみらいのビジョン,マニフェストが現在の政治に不足していると指摘している議論は何か？,社会保障の充実,どう成長するか,格差の是正,環境問題への対策,2,マニフェストは、現在の政治では『どう再分配するか』の話ばかりで『どう成長するか』の議論が不足していると指摘しています。
チームみらいのビジョン,マニフェストが日本の経済成長の糸口として最も重要視しているものは何か？,豊富な天然資源,急速な人口増加,テクノロジー、創造性、イノベーション,海外からの大規模投資,3,マニフェストは、天然資源も人口増加もない日本が経済的成長を生み出す糸口はテクノロジー、創造性、イノベーションにこそあると述べています。
チームみらいのビジョン,AIの発展に関して、マニフェストが日本にとってチャンスと捉えている点は何か？,AIを「作る」技術で世界をリードしている点,AIの倫理基準策定で主導権を握れる点,AIを「使いこなす」レースが始まったばかりである点,AIによる失業問題への対策が最も進んでいる点,3,マニフェストは、AIを「作る」レースでは米中に遅れをとっているものの、AIを「使いこなす」レースはまだ始まったばかりであり、日本にとってチャンスであると述べています。
チームみらいのビジョン,マニフェストが提案する「未来をつくるための3ステップ」の第一歩は何か？,長期の成長に大胆に投資する,デジタル時代の当たり前をやりきる,変化に対応できる、しなやかな仕組みづくり,AI研究開発に国家予算の半分を投入する,2,マニフェストが提案する3ステップの第一は「デジタル時代の当たり前をやりきる」ことです。
チームみらいのビジョン,「変化に対応できる、しなやかな仕組みづくり」の具体例として、マニフェストで挙げられて**いない**ものはどれか？,AGIが早期開発された場合のシナリオプランニング強化,国民の意見を継続的に集めるデジタル民主主義の実践,全ての税制を廃止し、ベーシックインカムを導入する,個人の特性に応じたきめ細かな指導をAIチューターで行う,3,マニフェストでは、個人の貯蓄額や景気動向などに基づいた税制アルゴリズムの設計は提案されていますが、全ての税制廃止とベーシックインカム導入は具体例として挙げられていません。
チームみらいのビジョン,このマニフェストの改善プロセスに関する記述として、正しいものはどれか？,完成版として公開されており、今後変更の予定はない,専門家チームのみで議論し、内容は非公開で進められる,意見は聞くが、最終的な意思決定は多数決で行われる,未熟なバージョンを公開し、批判や意見を取り入れて改善していく,4,マニフェストは作成途中版（バージョン0.1）であり、批判のリスクを取りながら公開し、意見を取り入れて改善していく方針です。意思決定はチームみらいの人が行います。
チームみらいのビジョン,チームみらいの党議拘束に関する考え方として、適切なものはどれか？,全ての法案に対して党議拘束をかけ、党の方針を徹底する,党議拘束は一切かけず、全議員の完全な自由投票を認める,マニフェストで掲げた政策やビジョンについては党議拘束をかけ、それ以外は原則自由投票とする,予算案や首相指名についても党議拘束はかけず、議員の判断に委ねる,3,チームみらいは、マニフェストで掲げた政策やビジョン、予算案や首相指名などの重要法案については党議拘束をかけ、それ以外の論点については原則自由投票とする方針です。
項目には「オンライン政策インデックス,STEP1の教育政策において、すべての子どもに届けられるとされているものは何ですか？,最新型タブレット端末,専属のAI家庭教師,プログラミング必修化,デジタル教科書の無償配布,2,STEP1教育の項目には「すべての子どもに「専属のAI家庭教師」を届けます」と記載されています。
政策インデックス,STEP1の行政改革において、国会・行政のDXを推進するために永田町に設置されるものは何ですか？,AIによる政策立案システム,デジタル改革担当大臣室,エンジニアチーム,全国統一オンライン窓口,3,STEP1行政改革の項目には「永田町にエンジ
ステップ１「デジタル時代の当たり前をやりきる」,マニフェストが指摘する、日本がデジタル技術活用において抱える大きな問題意識は何ですか？,最新技術の研究開発が国際的に遅れていること,デジタル技術を日常的に活用する基盤が十分に整備されていないこと,国民の多くがデジタル技術の利用を拒否していること,デジタル関連企業への政府支援が過剰であること,2,文書では「日本では、教育現場から企業、地域社会から政治に至るまで、デジタル技術を日常的に活用する基盤が十分に整備されていません」と指摘されています。
ステップ１「デジタル時代の当たり前をやりきる」,日本がDXやAIの社会実装で他国に遅れをとっている根本的な原因として、マニフェストは何を挙げていますか？,国民のデジタルリテラシーが著しく低いこと,企業が短期的な利益を優先しデジタル投資を怠ってきたこと,政治とテクノロジーの間に距離があり、リーダーシップが不足していたこと,海外の先進的なデジタル技術の導入に障壁があること,3,「これらの問題の根底には、政治とテクノロジーとの間に距離があり、デジタル化を強力に推進するためのリーダーシップが十分に発揮されてこなかったことがあります」と述べられています。
ステップ１「デジタル時代の当たり前をやりきる」,マニフェストが、直面する課題の多くを解決するために真に必要としているものは何だと述べていますか？,海外の成功事例をそのまま模倣すること,国民全員にプログラミング教育を施すこと,デジタル化を断行する明確な「意思決定」と「実装力」,デジタル技術に関する新たな法律を多数制定すること,3,「真に必要とされているのは、デジタル化を断行するという明確な「意思決定」と、それを着実に社会の隅々まで浸透させていく「実装力」です」と強調されています。
ステップ１「デジタル時代の当たり前をやりきる」,教育分野において、マニフェストがすべての子どもに届けることを目指しているものは何ですか？,高性能な学習用パソコン,全国統一のデジタル教科書,専属のAI家庭教師,オンライン英会話の無料受講権,3,教育分野の目標として「1）すべての子どもに「専属のAI家庭教師」を届けます」と記載されています。
ステップ１「デジタル時代の当たり前をやりきる」,行政改革の一環として、国会・行政のDXを推進するために永田町に設置するとされているものは何ですか？,デジタル倫理監視委員会,AI技術開発研究所,エンジニアチーム,サイバーセキュリティ対策本部,3,行政改革の項目で「1）永田町にエンジニアチームを設置し、国会・行政のDXを推進します」と述べられています。
ステップ１「デジタル時代の当たり前をやりきる」,デジタル民主主義の分野で、パブリックコメントの機能不全を解決するために活用するとされているものは何ですか？,市民参加型予算編成システム,ブロックチェーンを用いた投票システム,広聴AI,SNS上の意見集約プラットフォーム,3,デジタル民主主義の項目で「1）パブリックコメントの機能不全 - 広聴AIを活用して、聞き手の情報パンクを解決します」とあります。
ステップ１「デジタル時代の当たり前をやりきる」,マニフェストが目指す「当たり前」のデジタル化を推進することで生まれる短期的な余力を、何に再投資するとしていますか？,宇宙開発技術への投資,さらなる成長戦略や、きめ細やかな国民サービス,全国民へのベーシックインカム導入,文化財のデジタルアーカイブ化,2,「この「当たり前」を実践することで生まれる短期的な余力（時間、人材、予算）を、さらなる成長戦略や、きめ細やかな国民サービスへと再投資してまいります」と記載されています。
ステップ１「デジタル時代の当たり前をやりきる」,医療分野において、「通院のない通院」を実現するために充実させるとされているものは何ですか？,AIによる遠隔手術システム,オンライン診療 / 処方受け取り方法,全病院のカルテ情報の完全統一,自宅での高度医療機器の利用補助,2,医療分野の目標として「1）オンライン診療 / 処方受け取り方法を充実し、通院のない通院を実現します」と記載されています。
ステップ１教育,教育におけるAI導入の主な目的として、このマニフェストが掲げているものは何ですか？,子どもたちの学力向上と好奇心育成,学校の運営コストの大幅な削減,教員の評価制度のデジタル化と厳格化,全国統一のデジタル教育カリキュラムの作成,1,マニフェストのビジョンには「子ども一人ひとりの個性・特性に合わせた教育を実施し、子どもたちの学力を伸ばし、好奇心を育みます」と明記されています。
ステップ１教育,AIリテラシー教育を強化する目的として、子どもたちにどのような状態を目指していますか？,AIに全ての判断を委ねるようにする,AI開発の専門家になることのみを奨励する,AIに使われるのではなく、AIを使いこなせるようにする,AIの利用を避け、伝統的な学習方法に集中する,3,マニフェストでは「子どもたちが “AIに使われる”のではなく、”AIを使いこなす” ように進化するように育みます」と述べられています。
ステップ１教育,「すべての子どもに専属のAI家庭教師を届ける」ための短期的な政策として、まず何を行うとしていますか？,政府が独自の教育用AIを開発し、無償で配布する,ChatGPT等の既存の大規模言語モデル（LLM）を全児童生徒に配布する,AI家庭教師の利用を希望する家庭にのみ限定的に提供する,AI利用に関する完璧な法的枠組みが整備されるまで導入を見送る,2,政策概要の「足元では」の部分で「ChatGPT等の既存のAI（LLM: 大規模言語モデル）を全児童生徒に配布します」と記載されています。
ステップ１教育,中長期的に導入を目指す教育用AIについて、どのような特徴を持つAIへの移行を計画していますか？,生徒に直接的な答えを即座に教えるAI,生徒の思考プロセスを完全に代行するAI,答えは教えないが、生徒が詰まっている箇所の考え方を教えるAI,日本の学校特有の概念（古典、日本史など）をデータセットから排除したAI,3,政策概要の中長期的な方針として「『答えは教えないが詰まっている箇所の考え方は教える』というAIに移行していきます」と述べられています。
ステップ１教育,子どものAIリテラシーを育むため、中学校段階で提案されている具体的な教育改革は何ですか？,AIに関するクラブ活動への参加を義務化する,教科「情報」を新設し、授業時間を増やす,AIの利用を週に一度に制限する倫理規定を設ける,全生徒に最新のプログラミング用ノートPCを無償で貸与する,2,政策概要には「中学校に教科『情報』を新設します」「時間が圧倒的に不足しているため、教科として新設し、授業時間を増やします」と明記されています。
ステップ１教育,AIに特化した先進的な高校（Super AI High Schools：SAIS）を設立する主な目的は何ですか？,全ての高校で均一かつ標準的なAI教育プログラムを実施するため,AI分野での国際競争に勝つために、早期からエリート教育を行うため,特定の分野で才能を持つ「異能・異才」を集め、先進的なAI教育を行うため,AI関連企業の社員を常勤講師として雇用し、実践的な職業訓練を行うため,3,SAIS設立の目的として「全学校でアドバンスな学習を実施するのは難しいので、尖った学校を創って、そこに異能・異才を集めます」と記載されています。
ステップ１教育,AIとITを活用した教員の働き方改革において、具体的な目標として掲げられているものは何ですか？,教員の授業時間を半分に削減し、研究に専念させる,教材作成時間をAIの活用により3割削減する,全ての学校行事の企画・運営をAIに任せる,教員の最低年間休日数をOECD平均以上に引き上げる,2,政策概要には「国産 Copilot の開発・調達し、教材作成時間を3割削減することを目指す」と明記されています。
ステップ１教育,貧困世帯の子どもたちや保護者への支援において、AIを活用して実現を目指す「プッシュ型支援」とはどのようなものですか？,支援が必要な家庭からの申請があった場合にのみ、迅速に対応する支援,全ての家庭に対して、一律の金額の教育支援金を自動的に給付する支援,家庭の状況をAIが分析し、問題が顕在化する前に積極的に行政から支援を提案・提供する支援,支援制度に関する情報を集約したポータルサイトを構築し、各自で必要な情報を検索してもらう支援,3,政策概要には「AIを活用すれば、あらかじめ問題を検知し、行政から積極的に問題解決のための行動を起こすことができます。（プッシュ型支援）」と説明されています。
ステップ１子育て,このマニフェストが目指す子育て支援の最終的な目標は何ですか？,デジタル技術の導入そのもの,親子の笑顔とゆとりある時間の創出,全ての情報をデジタル化すること,保護者のITリテラシー向上,2,マニフェストのビジョンでは「デジタルはあくまで手段であり、その先にある親子の笑顔とゆとりある時間を創出することが私たちの目標です」と述べられています。
ステップ１子育て,現行の紙媒体の母子手帳に関する課題として、本文書で指摘されていないものはどれですか？,妊娠中の体調が不安定な時期に受け取りに行く手間,紛失のリスク,医療機関での個人情報保護の不備,妊婦健診の受診券・補助券の手続きの煩雑さ,3,本文書では、紙媒体の母子手帳の課題として、受け取りの手間、紛失リスク、アナログな手続きの負担を挙げていますが、医療機関での個人情報保護の不備については直接的な指摘はありません。
ステップ１子育て,「デジタル母子パスポート」の政策概要として、適切でないものはどれですか？,スマートフォン等からいつでもアクセス可能となる,妊婦健診の受診券・補助券を対象者に自動的にデジタル付与する仕組みを構築する,全ての妊婦健診費用を即時に国が全額負担する制度を導入する,産後の予防接種スケジュールをパスポート内で管理し、プッシュ通知でお知らせする,3,「妊婦健診は原則全額公費負担」の拡大を目指し、必要財源の確保や国から自治体への交付の最適化を検討するとありますが、デジタル母子パスポート導入で即時に全額国が負担するとは記載されていません。
ステップ１子育て,子育てに関する情報や相談の現状課題として、本文書で言及されているものはどれですか？,子育て支援情報が全体的に不足していること,相談窓口が全国の自治体に十分に設置されていないこと,男性特有の育児ストレスに対応する支援は既に充実していること,情報が氾濫し、自身に合った制度や手続きを正確に把握することが容易ではないこと,4,本文書では「子育てに関する情報は氾濫しています。その中から自身に合った制度や手続きを正確に把握することは容易ではありません」と指摘されています。
ステップ１子育て,「AI育児相談ポータル」の機能として、本文書で述べられていないものはどれですか？,個々の状況に合わせた公的制度や手続きの対話形式での案内,AIチャットボットによる24時間365日の日常的な育児相談対応,AIが判断した深刻なケースを自治体の専門家へスムーズに接続する仕組み,保護者同士が匿名で悩みを共有できるオンライン掲示板機能,4,本文書では、AIによる情報提供、相談対応、専門家への連携は述べられていますが、保護者同士のオンライン掲示板機能については言及されていません。
ステップ１子育て,保育に関する現状の課題として、本文書で挙げられていないものはどれですか？,希望する時期に子どもを預けられる保育所を見つける「保活」の負担,一時預かりなどのニーズに対する空き状況の把握や予約の困難さ,保育施設の絶対数が全国的に不足し、新規開設も進んでいないこと,資格を持ちながらも現場を離れている「潜在保育士」の存在,3,本文書では「保活」の負担、一時預かりの予約困難、潜在保育士の存在を課題としていますが、保育施設の絶対数不足や新規開設の停滞については直接的な言及はありません。
ステップ１子育て,「全国版保育マッチングプラットフォーム」が目指すこととして、最も適切なものはどれですか？,全ての保育施設を国営化し、運営を統一すること,保育料の完全無償化を即時実現すること,全国の保育施設の空き状況をリアルタイムで可視化し、預け先探しを容易にすること,潜在保育士の再就職を禁止し、現役保育士の待遇を改善すること,3,本文書では「全国の認可保育所、企業主導型保育、ベビーシッターなどの登録情報を集約し、空き状況をリアルタイムで可視化する」ことで、「保活」の負担軽減を目指すとしています。
ステップ１子育て,このマニフェスト文書に関する注意点として、冒頭で述べられていることは何ですか？,この文書は既に完成しており、今後内容が変更されることはない,この文書は特定の専門家グループによって最終決定されたものである,この文書は作成途中であり、今後内容が変更される可能性があり、意見を募集している,この文書は法的拘束力を持つ公式な政策文書である,3,冒頭に「本マニフェストは作成途中版であり、内容は今後変更の可能性があります。ご意見・ご指摘をもとに、より良いものへと進化させていきます」と記載されています。
ステップ１行政改革,このマニフェストが掲げる行政改革のビジョンの一つ「使いやすさ最優先の公共サービス」とは、具体的にどのような状態を目指すものですか？,全ての行政手続きを24時間オンラインで完結させること,行政職員の業務効率を最大限に高め、コストを削減すること,誰もが迷わず、負担なく、支援や制度にアクセスできる状態を実現すること,最新のAI技術を全ての公共サービスに導入し、完全自動化すること,3,ビジョンでは「誰もが迷わず、負担なく、支援や制度にアクセスできる使いやすさ最優先の公共サービスを実現します」と明記されています。
ステップ１行政改革,永田町にエンジニアチームを設置する主な目的は何ですか？,国会・行政のDXを推進し、政治・行政にテクノロジーを実装するため,海外の先進的な行政システムをそのまま導入するため,全ての国会議員にプログラミング教育を実施するため,民間企業向けの新しいソフトウェア市場を開拓するため,1,文書には「政党自らが手を動かして、政治・行政にテクノロジーを実装し」「エンジニアチームを設置し、国会・行政のDXを推進します」と記載されています。
ステップ１産業,このマニフェストが掲げる産業のビジョンにおいて、特に今後の日本経済の成長のカギを握ると位置づけられているものは何ですか？,ロボット技術,AI（人工知能）,バイオテクノロジー,宇宙開発,2,マニフェストでは「特にAIについては、今後の日本経済の成長のカギを握るものと位置づけ」と明記されています。
ステップ１産業,マニフェストが目指す産業支援の方策において、効率化、高度化、利便性の向上を図るために活用するものは何ですか？,伝統的な職人技,海外からの直接投資,AI・IT,大規模な公共事業,3,「支援の方策については、AI・ITも活用し効率化と高度化、利便性の向上を図ることで、広く深い支援を実現し、確実な成果に結び付けていきます」と記載されています。
ステップ１産業,2024年の帝国データバンクの調査によると、生成AIを業務へ取り込んでいる企業の現状として正しいものはどれですか？,多くの企業が導入し、大きな成果を上げている,導入企業はわずかで、効果を実感できない企業が多い,中小企業を中心に導入が進み、大企業が遅れている,導入した企業は多いが、コストが高すぎるとの声が多い,2,「生成 AI を実際に業務へ取り込んでいる企業はわずかであり、導入した企業の大半が「効果を実感できない」と答えるなど、熱気と成果の間には大きな隔たりがあるのが現状です」と述べられています。
ステップ１産業,多くのAIプロジェクトがPoC（概念実証）の段階で止まってしまう「PoCの墓場」に陥る背景にある、深刻な問題として指摘されているものは何ですか？,AI技術の信頼性の低さ,企業の資金不足,深刻な人材不足,政府の規制強化,3,「こうした停滞の背後には深刻な人材不足があり、経済産業省の推計では、2030 年にデータ／AI 人材が約 79 万人不足する見込みとなっています」と明記されています。
ステップ１産業,AIシフト実現のための政策として、年間100万人規模の支援を目指す「AIリスキリング支援」の主な対象として特に重視されているのはどのような企業ですか？,大企業やグローバル企業,スタートアップ企業やベンチャー企業,中小企業や地方の企業,外資系企業や海外進出企業,3,「特に中小企業や地方の企業の社員を中心的に支援することで、日本の産業全体の底上げを図ります」と記載されています。
ステップ１産業,日本の産業支援制度に関する現状の評価として、マニフェストで指摘されている課題は何ですか？,メニューは少ないが非常に使いやすい,メニューは多いが使いにくい,メニューは豊富で、どの企業も容易に利用できる,メニューは限定的だが、専門性が高い,2,「日本の産業支援制度は「メニューは多いが使いにくい」という評価が定着しています」と述べられています。
ステップ１産業,支援制度のデジタルワンストップ化において、AIが企業の財務データや事業計画を解析して行うことは何ですか？,新たな事業計画の自動作成,競合他社の情報分析,最適な支援制度の提案,従業員のスキル評価,3,「政府・自治体・JETRO の支援メニューを API で統合し、AI が企業の財務データや事業計画を解析して最適な制度を提案します」と記載されています。
ステップ１産業,海外展開支援のフルデジタル化において、J-Bridgeを拡張して提供される機能に含まれないものはどれですか？,AIマッチングによる商談先リスト作成,自動翻訳機能,国別規制チェック,現地でのオフィス契約代行,4,マニフェストには「J-Bridge を拡張し、AI マッチングによる商談先リスト作成、自動翻訳、国別規制チェックを一つの画面で完結させる」とあり、現地でのオフィス契約代行については言及されていません。
ステップ１科学技術,このマニフェストが目指す「知の創出力を最大化する」ための主要なアプローチは何ですか？,研究者の給与を大幅に引き上げること,研究者が本来の研究に専念できる環境を実現すること,海外の優秀な研究者を積極的に誘致すること,研究成果の商業化を最優先すること,2,マニフェストのビジョンでは、研究者が本来の研究に専念できる環境を実現し、知の創出力を最大化することを掲げています。
ステップ１科学技術,研究資金申請・報告業務における現状の課題として、マニフェストで指摘されていないものはどれですか？,書類作成・研究費管理などの業務負担が研究時間を圧迫している,研究計画書の様式が年度・事業ごとに微妙に異なる,研究者の英語能力が不足しているため、国際的な資金獲得が難しい,大学・研究機関ごとに異なるローカルルールが存在し、研究者の異動・連携が阻害されている,3,マニフェストでは、書類の煩雑さ、業務負担、ローカルルールなどを課題としていますが、研究者の英語能力については言及されていません。
ステップ１科学技術,研究支援業務へのAI・IT導入の一環として導入が提案されているResearch Management System (RMS) の機能として、適切でないものはどれですか？,各プロジェクトの予実管理のスムーズ化,不正検知AIや異常支出パターン検出アラート,研究成果の自動論文執筆支援,RMSフォーマット・データ仕様の標準化による手続き共通化,3,RMSは研究活動に関連する項目を一元管理し、予実管理、不正検知、手続き共通化などを目指しますが、自動論文執筆支援機能については言及されていません。
ステップ１科学技術,研究プロジェクトの予算運用に関して、マニフェストが提案する変更点は何ですか？,予算の繰越・前倒しを完全に自由化する,予算の繰越・前倒しを原則認可制から「事前登録制」に簡素化する,年度単位の予算執行をより厳格化する,プロジェクト単位の予算管理を廃止し、大学全体で一括管理する,2,マニフェストでは、プロジェクト予算の繰越・前倒しを原則認可制から「事前登録制」に簡素化し、年度単位からプロジェクト単位へ変更することを提案しています。
ステップ１科学技術,研究室におけるハラスメントが起きやすい構造的な課題として、マニフェストが指摘している点は何ですか？,研究室のメンバー間のコミュニケーション不足,PIに権限が集中し、学生や若手研究者が従属的になりやすい構造,研究成果に対するプレッシャーが過度に高いこと,研究室の物理的なスペースが狭いこと,2,マニフェストでは、PIへの権力集中、学生・ポスドクの立場の弱さ、外部からの監視の働きにくさなどをハラスメントの温床となる構造的課題として指摘しています。
ステップ１科学技術,ハラスメントの予防・早期発見・迅速対応のために提案されている施策として、適切でないものはどれですか？,研究室運営の可視化と外部モニタリングの強化,ハラスメントを行ったPIに対する厳罰化のみを追求する,AIチャットボットによる24時間対応の匿名相談窓口の整備,独立した通報機関（第三者機関）の設置,2,マニフェストでは、可視化、モニタリング、相談窓口、第三者機関設置など包括的な対策を提案しており、厳罰化のみを追求するとは述べられていません。
ステップ１科学技術,ハラスメント発生時や研究テーマのミスマッチがあった場合に、研究キャリアを継続するための支援策として提案されているものは何ですか？,海外留学プログラムへの優先的参加,研究室間の移籍制度やローテーションの柔軟化,カウンセリング費用の全額補助,PIに対する指導力向上研修の義務化,2,マニフェストでは、研究室間の移籍制度やローテーションの柔軟化を支援し、キャリア継続を助けることを提案しています。
ステップ１科学技術,このマニフェストが科学技術分野で目指す「次世代型研究支援インフラ」の重要な特徴は何ですか？,コスト削減を最優先としたシンプルなシステム,研究者間の競争を最大限に促進する評価制度,信頼性と効率性を兼ね備え、AI・ITを積極的に取り入れたもの,伝統的な研究手法を重視し、デジタル技術の導入は最小限に留める,3,ビジョンでは、公的支援の仕組みにAI・ITを積極的に取り入れ、信頼性と効率性を兼ね備えた次世代型研究支援インフラを構築すると述べています。
ステップ１デジタル民主主義,このマニフェストの現在の状態について、最も適切な説明はどれですか？,完成版であり、これ以上の変更はない,最終決定版として公式に承認されている,作成途中版であり、今後内容が変更される可能性がある,既に議論が終了し、廃止が決定されている,3,文書冒頭に「本マニフェストは作成途中版であり、内容は今後変更の可能性があります」と明記されています。
ステップ１デジタル民主主義,このマニフェストが提唱するデジタル民主主義において、最終的な政治的意思決定は誰が行うべきとされていますか？,高度なAIシステム,国民投票による多数決の結果そのもの,責任が取れる主体である人間,国際的な専門家からなる委員会,3,「私たちは、政治的意思決定は責任が取れる主体である人間が行うべきであると考えています」と述べられています。
ステップ１デジタル民主主義,パブリックコメント制度が抱える問題点として、本文書で指摘されていないものはどれですか？,提出される意見の数が「異常件数」であること,同じ趣旨の投稿を繰り返す多数派工作の存在,意見の取りまとめに職員の工数が大幅に取られること,提出される意見の専門性が著しく低いこと,4,本文書では意見の「異常件数」、多数派工作、職員の工数増大が問題点として挙げられていますが、「提出される意見の専門性が著しく低いこと」という直接的な指摘はありません。むしろ意見の「幅」を見
ステップ１医療,このマニフェストが掲げる医療分野のビジョンとして、テクノロジーの力で主に何を支援すると述べていますか？,医療機関の経営および業務効率化,新薬の開発促進,医師の給与水準向上,海外からの患者誘致,1,マニフェストのビジョンでは「医療の現場をテクノロジーの力で支援することで、医療機関の経営および業務効率化を支援します」と明記されています。
ステップ１医療,マニフェストによると、オンライン診療の普及や医療機関での待機時間の短縮は、特にどのような人々の医療アクセス格差の是正につながるとされていますか？,ITリテラシーの高い働き世代や若い方々,外出が困難な要介護者の方や僻地などで医療アクセスが困難な方々,海外在住の日本人,スポーツ選手などの特殊な健康管理が必要な人々,2,マニフェストのビジョンには「オンライン診療の普及や医療機関での待機時間の短縮は外出が困難な要介護者の方や僻地などで医療アクセスが困難な方々に対しての医療アクセス格差の是正にもつながります」と記載されています。
