category,question,option1,option2,option3,option4,correct_answer,explanation
ステップ３子育て,保育DXの推進策として、マニフェストで具体的に挙げられているAI活用例は何ですか？,AIによる園児の健康状態の自動診断,AIによる保護者からのクレーム自動対応,AIによる保育記録の自動まとめ（音声入力からの文書化）,AIによる園児の才能予測と個別教育プラン作成,3,マニフェストでは保育DXの例として「例えば保育記録は音声で都度入力しておくと1日の終わりに自動でAIがまとめてくれるなど、保育士の皆様の書類作成業務や事務作業の負担を大幅に軽減します」と記載されています。
ステップ３子育て,障がいのあるお子さんとその家族を支援する「ファミリーサポートハブ（仮称）」の機能として、マニフェストに記載されているものはどれですか？,保護者の代わりに育児を行うAIロボットの派遣手配,障がいのある子ども専用のSNSプラットフォームの提供,支援サービス・手当等の情報一元管理とオンライン申請機能,障がいのある子どもの将来の職業をAIが予測し斡旋する機能,3,「ファミリーサポートハブ（仮称）」は、支援サービス・手当・助成金・施設に関する情報の一元管理、各種手続きのオンライン完結、関係機関間の情報共有、AIによるリソースのプッシュ型提案などを機能としています。
ステップ３教育,このマニフェストが、国家の100年先を見据えた成長において最も重要と考える投資対象は何ですか？,最新技術の開発,インフラ整備,「人」への投資,海外市場の開拓,3,マニフェストは「最も重要なのは『人』に投資することです」と明記しています。
ステップ３教育,AI時代において、子どもたちに育むべき最も重要な力としてマニフェストが挙げているものは何ですか？,プログラミングスキル,「好奇心」と新しいことを「はじめる力」,高度なデータ分析能力,外国語でのコミュニケーション能力,2,マニフェストでは「AI時代、子どもたちに育むべきは『好奇心』であり、新しいことを『はじめる力』です」と述べられています。
ステップ３教育,日本の教育費に関する現状認識として、マニフェストが指摘している点は何ですか？,対GDP費で諸外国より高い水準にある,対GDP費で諸外国より低い水準にある,子どもの数比で見ると先進国より大幅に低い,教育費の乗数効果は低いと分析されている,2,マニフェストは「国家が投入する教育費は、対GDP費だと諸外国より低い」と指摘しています。
ステップ３教育,GIGAスクール構想で整備された１人１台端末について、マニフェストが指摘する主な課題は何ですか？,端末の数が不足している,ソフトウェアのライセンス費用が高い,端末のスペックが不足している,教員が端末を使いこなせていない,3,マニフェストは「全国で１人１台端末は整備されたがスペックが不足している」と指摘し、特に推奨帯域を満たす学校が少ないことを挙げています。
ステップ３教育,国産の質の良いEdTech開発を促進するため、マニフェストが提案している具体的な政策は何ですか？,EdTech企業への減税措置,500億円規模のEdTechスタートアップへの政府ファンド新設,全ての学校にEdTech専門家を配置,海外製EdTechの導入禁止,2,マニフェストは「500億円規模のEdTechスタートアップへの政府ファンドを新設して投資する」と提案しています。
ステップ３教育,子どもたちの体験格差を是正するために、マニフェストが提案している具体的な施策は何ですか？,全ての校外学習を無料化する,年間1万円分のフィールド／インターン体験クレジットを全児童生徒に支給する,学校に最新の体験型遊具を設置する,保護者向けの体験プログラム参加を義務化する,2,マニフェストは「体験格差是正バウチャーの配布」として「年間１万円分のフィールド／インターン体験クレジットを全児童生徒に支給」することを提案しています。
ステップ３教育,子どもたちのアントレプレナーシップに関する課題として、マニフェストが指摘していないものはどれですか？,社会を変えられると思う子どもが極めて少ない,起業に関心を持つ若年層が少ない,失敗を極端に嫌う傾向がある,他者と協力する能力が低い,4,マニフェストでは安定志向、失敗嫌い、社会変革意識の低さ、起業関心の低さを指摘していますが、協調性の低さについては直接言及していません。
ステップ３科学技術,マニフェストが掲げる「知のエコシステム」を形成するための３つの柱に含まれないものはどれか？,卓越した人材の育成と柔軟な人材流動性の確保,オープンで自由な研究環境の整備,グローバルから研究者・起業家を呼び込む魅力ある生活・研究環境の提供,短期的な成果を重視した研究資金の配分,4,「知のエコシステム」の柱は、人材育成と流動性、オープンな研究環境、魅力ある生活・研究環境の提供です。短期成果重視はむしろ課題として認識されています。
ステップ３科学技術,新たに創設される「高自由度・長期型研究資金制度」の採択期間は最大で何年か？,3年,5年,7年,10年,3,挑戦的・基礎的研究の推進に向けた高自由度・長期型研究資金制度の採択期間は最大7年とされています。
ステップ３科学技術,研究成果の社会実装やイノベーション創出を加速するために提案されている、産学官の垣根を越えた人材流動性を高めるための制度はどれか？,短期集中型研究プロジェクト,研究成果発表会への参加義務化,キャリアリターン制度や人材シェアリング制度,年功序列に基づく昇進制度,3,産学官の垣根を越えた人材流動性を高めるため、「キャリアリターン制度」や「人材シェアリング制度」の構築が提案されています。
ステップ３科学技術,ディープテック領域におけるスタートアップ創出の課題として、民間VCが投資を敬遠する理由として挙げられていないものはどれか？,製品化・収益化までに長期間を要する,規制や製造・実証などの技術リスクが高い,投資回収の見える化が困難,研究開発テーマが魅力的すぎる,4,民間VCがディープテック投資を敬遠する理由には、製品化までの期間、技術リスク、投資回収の困難さなどがあり、テーマが魅力的すぎることは理由として挙げられていません。
ステップ３科学技術,国家戦略技術分野として重点的な資本投下が検討されている技術例に含まれないものはどれか？,ロボティクス,伝統工芸技術,マテリアル,宇宙（衛星コンステレーション）,2,国家戦略技術分野の例として、ロボティクス、レーザー、マテリアル、再生医療／バイオ、宇宙、サイバーセキュリティなどが挙げられていますが、伝統工芸技術は明記されていません。
ステップ３科学技術,マニフェストで指摘されている、研究者が研究に集中しづらい現状の課題として正しいものはどれか？,研究資金が潤沢にありすぎて使い道に困る,多くの研究資金が長期的な基礎研究に偏っている,外部資金への依存が低く、自由に使える研究費が多い,多くの研究資金が短期成果に基づく配分となっており、基礎研究がしづらい,4,現状の課題として、多くの研究資金が短期成果に基づく配分であり基礎研究がしづらいこと、外部資金への依存が高いこと、自由に使える研究費が少ないことなどが挙げられています。
ステップ３科学技術,日本の博士課程進学率に関する現状認識として、マニフェストで述べられている内容はどれか？,OECD諸国の中で最高レベルである,OECD諸国の中で平均レベルである,OECD諸国の中でも最低レベルである,近年急速に上昇している,3,マニフェストでは、日本の博士課程進学率はOECD諸国の中でも最低レベルであると指摘されています。
ステップ３科学技術,ディープテック特化型の公的ファンドの出資枠を拡大する主な目的として、マニフェストで述べられているのはどれか？,海外企業の買収を促進するため,既存の大企業への研究開発支援を強化するため,リスクマネーの流通と成長資金の確保のため,研究者の海外流出を防ぐための奨学金制度を充実させるため,3,ディープテック特化型の公的ファンドの出資枠拡大は、リスクマネーの流通と成長資金の確保を目的としています。
ステップ３エネルギー,AIの本格的な普及に伴い、2030年までに見込まれる追加電力需要はどの程度と予測されていますか？,日本全体の年間消費電力の約10%,世界全体で日本の年間総発電量の半分程度,世界全体で日本一国分に相当する量,主要先進国の電力需要の合計程度,3,文書の「ビジョン」には、「2030 年までの短期間でも世界全体で日本一国分に相当する追加電力が必要になると見込まれます」と記載されています。
ステップ３エネルギー,日本のエネルギー供給における課題として、文書で指摘されていないものはどれですか？,化石燃料資源が乏しいこと,再生可能エネルギー導入に適した平野部が限られていること,原子力発電技術が国際標準に比べて遅れていること,燃料輸入による国富の海外流出リスク,3,文書では化石燃料の乏しさ、再エネ導入の地理的制約、燃料輸入による国富流出を指摘していますが、原子力発電技術が国際標準に比べて遅れているとは具体的に述べていません。むしろ再稼働や次世代炉開発に言及しています。
ステップ３エネルギー,2023年の日本の電源構成実績について、第6次エネルギー基本計画の2030年目標と比較して、割合が目標よりも高かった電源の組み合わせはどれですか？,原子力と水力,LNG（液化天然ガス）と石炭,その他再エネと原子力,水力とその他再エネ,2,文書によると、2023年実績はLNG 32％（目標20％）、石炭 29％（目標19％）であり、これらは2030年目標よりも高い割合でした。
ステップ３エネルギー,再生可能エネルギーの大幅な増加における課題として、文書で特に懸念されている国民への直接的な影響は何ですか？,設置場所周辺の地価下落,再エネ賦課金による経済的負担の増加,電力品質の低下による家電製品への影響,関連産業における雇用機会の不安定化,2,文書では「再エネ賦課金による国民負担は、2024年度見込みで2.7兆円に達しています。追加的な再エネ導入は国民負担の増加に繋がります」と指摘しています。
ステップ３エネルギー,日本の太陽光発電の導入状況について、文書ではどのように評価されていますか？,導入が世界的に遅れており、さらなる大規模導入の余地が大きい,国土面積当たりの導入量は世界平均程度だが、コストが高い,国土面積当たりの導入量は既に世界上位水準にあり、大幅な追加余地は限定的,主に山間部での大規模開発が進んでいるが、環境への影響が懸念される,3,文書には「太陽光の導入量は国土面積当たりで既に世界上位水準（ドイツと同程度）にあるため、大幅な追加余地は住宅や建物屋根などに限られます」と記載されています。
ステップ３エネルギー,政策概要において、2030年に向けた原子力発電の目標として掲げられている運転基数は何基以上ですか？,15基以上,20基以上,25基以上,30基以上,3,政策概要には「2030 年時点で 25 基以上の運転を実現できるよう、手続きの迅速化と地域支援を両立させます」と記載されています。
ステップ３エネルギー,水力発電のポテンシャルを開放するための政策として、文書で提案されている具体的な方策は何ですか？,全国での新規大規模ダムの建設を最優先する,1957年制定の多目的ダム法を見直し、既存ダムの再開発や揚水増強を推進する,水力発電関連の規制を全て撤廃し、自由競争を促す,海外の先進的な小水力発電技術を全面的に導入する,2,政策概要では「多目的ダム法を見直し、水力発電のポテンシャルを開放します。既存ダムの再開発や揚水増強を推進し」と述べられています。
ステップ３エネルギー,2050年ゼロエミッション社会の実現に向けて、長期的なエネルギー問題の抜本的解決に備えるとして、特に研究開発投資が強化されるとされている革新技術は何ですか？,超々臨界圧石炭火力発電技術,アンモニア混焼・専焼技術,核融合技術,CCS（二酸化炭素回収・貯留）技術の高度化,3,政策概要の「2）2050 年ゼロエミッション社会に向けて」の中で、「核融合技術の研究開発投資を強化し、長期的なエネルギー問題の抜本的解決に備えます」と明記されています。
ステップ３経済財政,チームみらいが経済財政で目指すビジョンとして、歳出削減・税収増の果実を重点的に配分する対象は誰ですか？,高齢者,企業,現役世代,地方自治体,3,ビジョンには「歳出削減･税収増の果実は､社会保険料をはじめとする現役世代の負担軽減に重点的に配分します」と明記されています。
ステップ３経済財政,チームみらいが目指す投資のあり方として、適切でないものはどれですか？,官民それぞれの役割を踏まえた財政出動,民間の資金流入が促進されるような制度整備,規制緩和さえすれば民間投資がついてくるという考え方,複合的な手法を駆使した投資の推進,3,文書には「逆に｢規制緩和さえすれば民間投資がついてくる｣といったものでもありません」と記載されています。
ステップ３経済財政,大胆な投資が引き起こす可能性のあるリスクとして、文書で言及されていないものはどれですか？,長期金利の上昇,国際競争力の低下,インフレの進行,財政に対する信認の揺らぎ,2,文書では長期金利の上昇、インフレ、財政への信認の揺らぎがリスクとして挙げられていますが、国際競争力の低下は直接的には言及されていません。
ステップ３経済財政,短中期で大きな成果が見込める投資について、チームみらいはどのような対応を検討していますか？,投資規模の抑制,ワンショット（一時的）の財政出動も含めた大胆な手当,民間資金のみに頼る,長期的な財政均衡を最優先,2,「短中期(例えば3-5年)で大きな生産性向上や歳出削減効果が見られる投資については､ワンショット(一時的)の財政出動も含めた大胆な手当を行うことも積極的に検討します」とあります。
ステップ３経済財政,財政赤字の許容範囲について、チームみらいが議論の出発点として参考にしている過去の実績（基礎的財政収支対名目GDP比）はどの程度ですか？,財政黒字を維持,1%未満の財政赤字,2～3%の財政赤字,5%以上の財政赤字,3,「これまでの実績としては､基礎的財政収支対名目GDP比2\~3%の財政赤字については､我が国の財政に対する信認を過度に毀損することなく運営できてきたと考えられます」と記載されています。
ステップ３経済財政,長期・大胆な投資を行う上で、チームみらいが必要不可欠と考えていることは何ですか？,国際機関からの資金援助の確保,国民への一律給付金の増額,特定産業への集中的な補助金投入,財政に対するガバナンスを徹底し、信認を得ること,4,「国家が長期投資に対する支持を訴える以上､財政に対するガバナンスを徹底し､信認を得ることが必要不可欠です」とあります。
ステップ３経済財政,財政ガバナンス強化のためにチームみらいが進める具体的な取り組みとして、文書に挙げられていないものはどれですか？,ブロードリスニングを通じた多様な視点の取り入れ,EBPMの取組強化による効果検証,国債発行額に厳格な上限を設定すること,公共投資の原資や使途に関する情報公開,3,具体策としてブロードリスニング、EBPM強化、情報公開が挙げられていますが、国債発行額の上限設定は直接的には記載されていません。
ステップ３経済財政,「フローではなく総合的な経済状況に応じた給付システム」を志向する際、デメリットとなり得る可能性があるのはどのような層ですか？,フローが多くストックが少ない勤労者,フローが僅少でストックが大きい資産生活者,フローもストックも少ない低所得者層,フローもストックも多い富裕層,2,「フロー(給与所得等)ではなく総合的な経済状況に応じた給付システム｣を志向する際､(給付原資が一定と仮定すれば) フローが僅少でストックが大きい資産生活者にとってはデメリットともなり得ます」と明記されています。
ステップ３医療,日本が直面している深刻な構造変化として、このマニフェストで言及されていないものはどれか？,世界でも類のない速さでの高齢化,急速な人口減少,国民皆保険制度の持続可能性への懸念,国際競争力の著しい低下,4,マニフェストでは、高齢化、人口減少、国民皆保険制度の持続可能性が課題として挙げられていますが、国際競争力の著しい低下については直接的な言及はありません。むしろ日本の技術力は強みとされています。
ステップ３医療,マニフェストが日本の強みとして挙げている項目に含まれないものはどれか？,高水準の治安と公衆衛生,「おもてなし」の精神,豊富な天然資源とエネルギー,医療やものづくりの分野で培われた技術力,3,マニフェストでは、治安、公衆衛生、おもてなし、技術力が強みとして挙げられていますが、豊富な天然資源とエネルギーについては言及されていません。
ステップ３医療,このマニフェストが目指す、日本の課題を成長に転換するための具体的なアプローチは何か？,海外からの大規模な労働力導入,「医療」への投資を通じた新たな戦略的産業の育成,基幹産業における規制緩和の徹底,全国民へのベーシックインカム導入,2,マニフェストでは、直面する課題を「医療」への投資という形で成長に転換し、高度な医療技術とサービスを融合させた新たな戦略的産業を育てていくことを目指しています。
ステップ３医療,日本の医療設備に関して、マニフェストで述べられている正しい記述はどれか？,CTやMRIの保有台数はOECD諸国の中で平均的である,粒子線治療施設の数は世界で最も多い,CTやMRIの保有台数はOECD諸国の中でもトップクラスである,高度医療機器の国内配備は他の先進国に比べて遅れている,3,マニフェストには「日本はCT、MRIの台数がOECDの中でもトップクラスを誇ります」と記載されています。
ステップ３医療,医療ツーリズムを展開する上での課題として、マニフェストで言及されていないものはどれか？,国内の医療資源への影響,医療従事者の専門性の不足,外国人患者のための通訳不足,医療滞在ビザの発給手続きの煩雑さ,2,マニフェストでは、国内医療資源への影響、通訳、ビザ、保険などが課題として挙げられていますが、医療従事者の専門性の不足については直接的な言及はありません。
ステップ３医療,医療ツーリズム推進のためのビザ制度に関する政策として、マニフェストで提案されている内容はどれか？,医療滞在ビザの発給要件を大幅に緩和し、登録医療機関を不要とする,医療滞在ビザの発給手続きを迅速化し、受診医療機関と治療期間を登録制にする,医療目的の渡航者にはビザを免除し、自由な医療アクセスを認める,医療滞在ビザの発給数を現状維持とし、国内医療への影響を最小限に抑える,2,マニフェストでは、医療滞在ビザ制度を再整備し、発給手続きを迅速化するとともに、ビザ申請時に受診医療機関と治療期間を登録する形にすることが提案されています。
ステップ３医療,医療ツーリズムで来日した旅行者の言語問題や未収金トラブルに対応するために、マニフェストが提案している支援策は何か？,外国人患者専門の公的病院を全国に設置する,医療通訳の国家資格を創設し、配置を義務付ける,医療滞在費用の保証および未収金トラブルを回避するためのルールを整備する,トラブルを起こした外国人患者の再入国を厳しく制限する,3,マニフェストでは、「医療滞在費用の保証および未収金トラブルを回避するためのルールを整備します」と記載されています。
ステップ３医療,医療ツーリズムによって得られた収益の活用方法として、マニフェストで提案されている仕組みはどれか？,全額を国の一般財源として活用する,収益の一部を地域医療振興のための費用として拠出してもらう,医療ツーリズム関連企業への減税措置に充当する,海外の医療研究機関への投資資金とする,2,マニフェストでは、医療ツーリズムによる収益の一部を地域医療振興に当てる費用として拠出してもらい、地域の救急体制や医療機器更新などに利用する仕組みが提案されています。
国政政党成立後100日プラン,国政政党成立後100日プランにおいて、最初に組織する「永田町エンジニアチーム」の規模と主な資金源は何ですか？,100名規模、企業献金,10名規模、政党交付金,3名規模、クラウドファンディング,50名規模、党員の寄付,2,文書には「10名規模の技術者集団（永田町エンジニアチーム）を組織する」「政党交付金を永田町のエンジニアチームを組織するために活用」と記載されています。
国政政党成立後100日プラン,「永田町エンジニアチーム」に加えて組織される、より多くの人々の協力を仰ぐためのコミュニティの規模と特徴は何ですか？,10名規模のクローズドな専門家チーム,1000名規模のボランティアサポーター組織,100名規模のオープンソース・コミュニティ,50名規模の政策アドバイザーグループ,3,文書には「加えて、100名規模のオープンソース・コミュニティを組織する」「チームみらいが作るのはOSSであるため、通常のスタートアップと違って、多くの人たちの協力を更に仰ぐことができる」と記載されています。
国政政党成立後100日プラン,他党や自治体との連携推進の一環として立ち上げる「オープンな超党派議連」の主な目的は何ですか？,全ての政策について党派を超えた合意形成を目指すため,特定の業界団体との連携を強化するため,国際的な技術協力の枠組みを構築するため,AI政策についてオープンかつ国民的な検討を進めるため,4,文書には「（政策面連携）AI政策についてオープンかつ国民的な検討を進めるためのオープンな超党派議連を立ち上げる」と記載されています。
国政政党成立後100日プラン,「スモールチームでも出来る”社会実装”」の一環として提案されている「認証機構付きの意見募集システム」で、多数派工作に対してより頑健にするために活用が検討されている認証方法は何ですか？,マイナンバーカード認証,SNSアカウント認証,メールアドレス認証,指紋認証,1,文書には「マイナンバーカード認証付きの意見募集プラットフォームがあればより多数派工作に対して頑健になる」と記載されています。
国政のその他重要分野,チームみらいがガソリン税の暫定税率に関して提案している主な方針は何ですか？,暫定税率をさらに引き上げ、税収を環境対策に充てる,暫定税率を廃止し、生活者と物流業界の負担を軽減する,暫定税率を維持しつつ、低所得者層への補助金を拡充する,暫定税率の是非については国民投票で決定する,2,文書には「ガソリン税の暫定税率を廃止してガソリンにかかる負担を抑え、生活者と物流業界を支えます」と明記されています。
国政のその他重要分野,チームみらいがコメの価格安定化のために提案する主な手段は何ですか？,生産者への直接補助金を大幅に増額する,輸入米の自由化を推進し、市場競争を促進する,コメの流通をデジタル管理し、政府備蓄米情報をリアルタイム公開する,コメの消費税を撤廃し、消費者の負担を軽減する,3,文書には「コメの生産から消費までのトレーサビリティ（流通履歴追跡）をデジタル管理する制度を導入」「政府備蓄米の入札情報や流通状況については、リアルタイムのデジタル公開を実施」と記載されています。
国政のその他重要分野,チームみらいが地方のインフラ老朽化と土木事業者不足に対応するために推進するものは何ですか？,海外からの建設労働者の大規模な受け入れを促進する,全てのインフラを最新のものに建て替える大規模公共事業を計画する,ドローンやセンサーを活用したインフラの点検・監視とAIによる分析を導入する,インフラ維持管理予算の大幅な削減と完全民営化を目指す,3,文書には「ドローン・センサーを活用したインフラの定期的な点検・監視を導入・推進します」「老朽化の進んだ施設をAIが予測・分析することで、重点的かつ効果的な改修・修繕を実施します」とあります。
国政のその他重要分野,憲法に関して、チームみらいが堅持すると明言している3つの基本原理に含まれないものはどれですか？,国民主権,基本的人権の尊重,平和主義,天皇の元首化,4,文書では「国民主権」「基本的人権の尊重」「平和主義」を堅持すると明記されており、「天皇の元首化」については言及されていません。
国政のその他重要分野,チームみらいが外交カードとして活用しようとしている「AI立国」構想の具体的な内容はどれですか？,AI兵器を積極的に開発し、軍事的な優位性を確立する,AIによる国民監視システムを構築し、国内の治安を強化する,先進的なAI研究開発・利用基盤を整備し、国際的な規範づくりをリードする,全ての行政サービスをAIに置き換え、行政コストを大幅に削減する,3,文書には「先進的なAI研究開発・利用基盤をいち早く整備し、外交カードとして積極的に活用します」「AIに関する国際的な規範づくりを日本がリードし、国際社会におけるプレゼンス強化を実現します」とあります。
国政のその他重要分野,チームみらいが推進する災害対策の特徴として、文書で述べられているものはどれですか？,公助のみに頼った中央集権型の災害対策を強化する,テクノロジーを活用し、公助を補完する分散型・自助の災害対策を進める,伝統的な地域コミュニティの力のみを重視したアナログな対策を推奨する,海外からの支援に全面的に依存する国際協力型の対策を構築する,2,文書には「テクノロジーを活用し、公助を補完する分散型・自助の災害対策を進める」と記載されています。
国政のその他重要分野,チームみらいがカーボン・ニュートラルの実現に向けて実施する支援策として、文書に記載されているものはどれですか？,国内の全企業に対する再生可能エネルギー導入の厳格な義務化,化石燃料を使用する企業への高額な炭素税制度の即時導入,カーボン・ニュートラル技術の開発支援と新興国向けの技術移転支援,原子力発電所の新設を積極的に推進し、CO2排出量を削減する,3,文書には「日本企業のカーボン・ニュートラル技術の開発を支援しつつ、日本の先進技術が新興国でも用いられるよう、積極的な支援を実施します」と明記されています。
国政のその他重要分野,本マニフェストの「その他重要分野」で示される政策・ビジョンが目指す、党の全体的なビジョンは何ですか？,経済成長率で世界一を達成し、強い日本を取り戻す,テクノロジーで誰も取り残さない日本をつくる,伝統文化を絶対的に重んじる保守的な国家を建設する,完全な自由競争に基づく小さな政府と市場経済を確立する,2,文書冒頭の「その他重要分野についての考え方」に「『テクノロジーで誰も取り残さない日本をつくる』という党のビジョンを実現するために」と記載されています。
改善提案の反映方針,チームみらいが改善提案を取り入れる際の前提条件として、**適切でないもの**は次のうちどれですか？,チームみらいのミッション・ビジョンに合っていること,マニフェストの大きな方向性と一致していること,提案者がチームみらいの党員であること,実行可能であること,3,文書には、提案者が党員であることは前提条件として記載されていません。ミッション・ビジョンへの合致、方向性の一致、実行可能性が前提です。
改善提案の反映方針,チームみらいが目指す「テクノロジーで誰も取り残さない日本をつくる」ために、特に重視していることは何ですか？,全ての国民に最新のテクノロジー機器を配布すること,テクノロジーを活用して人々の選択肢を増やし、しなやかな仕組みをつくり、成長する日本の未来を描くこと,AI技術のみに特化して開発を進めること,海外の成功事例をそのまま日本に導入すること,2,文書には「テクノロジーを活用して人々の選択肢を増やし、しなやかな仕組みをつくり、成長する日本の未来を描くこと」が大きな方向性として示されています。
改善提案の反映方針,改善提案に具体性や裏付けが不足している場合、チームみらいはどのように対応するとしていますか？,具体性がない提案は原則として受け付けない,提案者に具体化するまで再提出を求める,チームみらいのメンバーで追加の検討を行い、より良い形で反映できるように努める,AIが自動的に具体性を補完する,3,文書には「素晴らしいアイデアだけれども少し具体性が足りない場合や、さらに情報が必要な場合などは、チームみらいのメンバーで追加の検討を行い、より良い形で反映できるように努めます」と記載されています。
改善提案の反映方針,改善提案の整理・可視化におけるAIの役割について、正しい説明はどれですか？,AIが改善提案の採用・不採用を最終的に判断する,AIは提案内容の客観性を評価し、点数付けを行う,AIは人間の意思決定をサポートするツールであり、採用・不採用の判断は人間が行う,AIは提案者との間で自動的に質疑応答を行う,3,文書には「AIが改善提案の採用・不採用の判断をしているわけではない、ということです。人間が意思決定をするためのサポートとしてAIを活用しています」と明記されています。
改善提案の反映方針,マニフェスト修正の最終的な意思決定は誰が行いますか？,AIシステム,各テーマ担当者の合議,党首である安野たかひろ,改善提案を提出した市民の投票,3,文書には「チームが作成した反映方針を、党首である安野たかひろが一件ずつ確認し、最終的な意思決定を行います」と記載されています。
改善提案の反映方針,同じ部分に対して複数の異なる改善提案があった場合、チームみらいはどのように対応することがありますか？,最も多くの支持を得た提案のみを採用する,各提案を個別に少しずつ反映する,個々の提案の趣旨を踏まえ、チームみらいがそれらをまとめた新しい改善案（プルリクエスト）を作成する,提案者同士で議論させ、一つの案にまとめてもらう,3,文書には「個々のご提案の趣旨を踏まえ、私たちの方でそれらをまとめた新しい改善案（プルリクエスト）を作成し、政策に反映する手法をとります」と記載されています。
改善提案の反映方針,チームみらいへの意見提出方法について、文書で述べられている内容として正しいものはどれですか？,GitHubや「いどばたシステム」経由のプルリクエスト以外での意見は受け付けていない,ミートアップやSNSでの意見も収集し、政策改善に活かす予定である,意見提出は匿名ではできず、必ず実名を明記する必要がある,専門家からのヒアリングは行わない方針である,2,文書では、GitHubや「いどばたシステム」以外にも、ミートアップ、SNS、専門家ヒアリングなど、意見募集経路を充実させていく方針が示されています。
改善提案の反映方針,この「マニフェスト改善提案への対応方針」のドキュメント自体について、チームみらいはどのようなスタンスを取っていますか？,この方針は最終決定であり、変更は受け付けない,この方針への改善提案も受け付けている,この方針に関する意見は党員のみが提出できる,この方針は専門家チームによってのみ改訂される,2,文書の冒頭に「なお、マニフェストの他パートと同様、こちらの対応方針についても皆様からの改善提案は受け付けております。」と記載されています。
